sector,events,1w_win,1w_med,1w_n,2w_win,2w_med,2w_n,4w_win,4w_med,4w_n,26w_win,26w_med,26w_n,52w_win,52w_med,52w_n
Aerospace & Defense,32,0.40625,-0.01621754799641706,32,0.375,-0.017283109009839315,32,0.40625,-0.03914293100233046,32,0.6875,0.12124957169412898,32,0.8125,0.20132963285444372,32
Automobiles,82,0.5609756097560976,0.012728889134860366,82,0.5609756097560976,0.020441353672180362,82,0.6341463414634146,0.06256438523625973,82,0.6049382716049383,0.10166843333925635,81,0.7375,0.27928974896498915,80
Banking,37,0.43243243243243246,-0.02080794471399472,37,0.4594594594594595,-0.031399514143368834,37,0.4594594594594595,-0.006480833367645156,37,0.6216216216216216,0.03581328879629475,37,0.6216216216216216,0.14500069595879927,37
Biotechnology,11,0.7,0.01432725710354954,10,0.5,-0.0002017927112720752,10,0.4,-0.01843969010928942,10,0.7,0.05708555265751947,10,0.6,0.009808645866375088,10
Chemicals,14,0.6428571428571429,0.01703811339460537,14,0.6428571428571429,0.025753100645511062,14,0.5,0.009761969915036417,14,0.7142857142857143,0.16755584848629523,14,0.8571428571428571,0.22857200253864096,14
Financial Services,10,0.4,-0.02598629049639123,10,0.5,-0.007058712210815166,10,0.5,-0.014930286932453074,10,0.7,0.04516601162695488,10,0.8,0.10772946859903387,10
Machinery,31,0.4838709677419355,-0.003278560935508601,31,0.4838709677419355,-0.0047962330599578,31,0.5806451612903226,0.021526849328978193,31,0.7586206896551724,0.18996401375188765,29,0.8214285714285714,0.4216335407291929,28
Real Estate,45,0.4222222222222222,-0.014303928599888383,45,0.4,-0.008393649353926613,45,0.4222222222222222,-0.008810928785061733,45,0.45454545454545453,-0.037486753918136995,44,0.5454545454545454,0.08869095794304627,44
Retail,76,0.47368421052631576,-0.007813434670158659,76,0.4473684210526316,-0.016478087357048532,76,0.42105263157894735,-0.0323657858813014,76,0.48,-0.005406250000000057,75,0.6266666666666667,0.1484098939929328,75
Technology,80,0.5625,0.008006825127332418,80,0.525,0.0070871354134219855,80,0.4875,-0.00033775864665808175,80,0.65,0.1784225034957152,80,0.5949367088607594,0.16945676030843604,79
Telecommunication,21,0.23809523809523808,-0.013191404999008727,21,0.23809523809523808,-0.022105400755335514,21,0.38095238095238093,-0.047330310198431924,21,0.6190476190476191,0.06249189511632136,21,0.5238095238095238,0.04923097234140883,21
