date,rolling_r2
2005-01-31,0.069
2005-02-28,0.093
2005-03-31,0.097
2005-04-30,0.116
2005-05-31,0.109
2005-06-30,0.139
2005-07-31,0.146
2005-08-31,0.155
2005-09-30,0.167
2005-10-31,0.159
2005-11-30,0.14
2005-12-31,0.156
2006-01-31,0.166
2006-02-28,0.164
2006-03-31,0.15
2006-04-30,0.14
2006-05-31,0.153
2006-06-30,0.153
2006-07-31,0.152
2006-08-31,0.151
2006-09-30,0.143
2006-10-31,0.122
2006-11-30,0.125
2006-12-31,0.115
2007-01-31,0.117
2007-02-28,0.118
2007-03-31,0.12
2007-04-30,0.106
2007-05-31,0.135
2007-06-30,0.134
2007-07-31,0.103
2007-08-31,0.08
2007-09-30,0.081
2007-10-31,0.115
2007-11-30,0.101
2007-12-31,0.085
2008-01-31,0.082
2008-02-29,0.112
2008-03-31,0.129
2008-04-30,0.135
2008-05-31,0.077
2008-06-30,0.09
2008-07-31,0.118
2008-08-31,0.12
2008-09-30,0.112
2008-10-31,0.148
2008-11-30,0.259
2008-12-31,0.301
2009-01-31,0.272
2009-02-28,0.3
2009-03-31,0.343
2009-04-30,0.264
2009-05-31,0.219
2009-06-30,0.206
2009-07-31,0.202
2009-08-31,0.226
2009-09-30,0.228
2009-10-31,0.237
2009-11-30,0.23
2009-12-31,0.237
2010-01-31,0.234
2010-02-28,0.207
2010-03-31,0.211
2010-04-30,0.23
2010-05-31,0.236
2010-06-30,0.162
2010-07-31,0.152
2010-08-31,0.151
2010-09-30,0.147
2010-10-31,0.147
2010-11-30,0.155
2010-12-31,0.147
2011-01-31,0.157
2011-02-28,0.156
2011-03-31,0.162
2011-04-30,0.161
2011-05-31,0.162
2011-06-30,0.176
2011-07-31,0.174
2011-08-31,0.173
2011-09-30,0.165
2011-10-31,0.157
2011-11-30,0.166
2011-12-31,0.164
2012-01-31,0.163
2012-02-29,0.169
2012-03-31,0.177
2012-04-30,0.181
2012-05-31,0.177
2012-06-30,0.168
2012-07-31,0.172
2012-08-31,0.175
2012-09-30,0.181
2012-10-31,0.187
2012-11-30,0.183
2012-12-31,0.177
2013-01-31,0.177
2013-02-28,0.167
2013-03-31,0.173
2013-04-30,0.182
2013-05-31,0.203
2013-06-30,0.221
2013-07-31,0.234
2013-08-31,0.24
2013-09-30,0.232
2013-10-31,0.219
2013-11-30,0.087
2013-12-31,0.16
2014-01-31,0.164
2014-02-28,0.167
2014-03-31,0.222
2014-04-30,0.206
2014-05-31,0.194
2014-06-30,0.176
2014-07-31,0.22
2014-08-31,0.279
2014-09-30,0.267
2014-10-31,0.272
2014-11-30,0.264
2014-12-31,0.264
2015-01-31,0.264
2015-02-28,0.284
2015-03-31,0.294
2015-04-30,0.293
2015-05-31,0.294
2015-06-30,0.225
2015-07-31,0.182
2015-08-31,0.225
2015-09-30,0.201
2015-10-31,0.223
2015-11-30,0.196
2015-12-31,0.195
2016-01-31,0.17
2016-02-29,0.203
2016-03-31,0.197
2016-04-30,0.208
2016-05-31,0.207
2016-06-30,0.203
2016-07-31,0.197
2016-08-31,0.197
2016-09-30,0.147
2016-10-31,0.136
2016-11-30,0.116
2016-12-31,0.118
2017-01-31,0.095
2017-02-28,0.08
2017-03-31,0.081
2017-04-30,0.078
2017-05-31,0.067
2017-06-30,0.064
2017-07-31,0.072
2017-08-31,0.067
2017-09-30,0.065
2017-10-31,0.066
2017-11-30,0.067
2017-12-31,0.069
2018-01-31,0.07
2018-02-28,0.054
2018-03-31,0.027
2018-04-30,0.03
2018-05-31,0.03
2018-06-30,0.028
2018-07-31,0.042
2018-08-31,0.024
2018-09-30,0.053
2018-10-31,0.045
2018-11-30,0.087
2018-12-31,0.083
2019-01-31,0.105
2019-02-28,0.091
2019-03-31,0.095
2019-04-30,0.092
2019-05-31,0.098
2019-06-30,0.112
2019-07-31,0.085
2019-08-31,0.091
2019-09-30,0.086
2019-10-31,0.102
2019-11-30,0.103
2019-12-31,0.114
2020-01-31,0.129
2020-02-29,0.129
2020-03-31,0.104
2020-04-30,0.266
2020-05-31,0.246
2020-06-30,0.225
2020-07-31,0.221
2020-08-31,0.198
2020-09-30,0.193
2020-10-31,0.194
2020-11-30,0.206
2020-12-31,0.206
2021-01-31,0.211
2021-02-28,0.215
2021-03-31,0.215
2021-04-30,0.226
2021-05-31,0.199
2021-06-30,0.197
2021-07-31,0.197
2021-08-31,0.197
2021-09-30,0.196
2021-10-31,0.194
2021-11-30,0.214
2021-12-31,0.208
2022-01-31,0.21
2022-02-28,0.169
2022-03-31,0.157
2022-04-30,0.161
2022-05-31,0.146
2022-06-30,0.137
2022-07-31,0.096
2022-08-31,0.093
2022-09-30,0.082
2022-10-31,0.104
2022-11-30,0.086
2022-12-31,0.092
2023-01-31,0.088
2023-02-28,0.097
2023-03-31,0.097
2023-04-30,0.087
2023-05-31,0.087
2023-06-30,0.087
2023-07-31,0.067
2023-08-31,0.066
2023-09-30,0.065
2023-10-31,0.068
2023-11-30,0.082
2023-12-31,0.084
2024-01-31,0.11
2024-02-29,0.107
2024-03-31,0.105
2024-04-30,0.105
2024-05-31,0.113
2024-06-30,0.117
2024-07-31,0.112
2024-08-31,0.112
2024-09-30,0.117
2024-10-31,0.118
2024-11-30,0.121
2024-12-31,0.112
2025-01-31,0.114
2025-02-28,0.111
2025-03-31,0.128
2025-04-30,0.203
2025-05-31,0.151
2025-06-30,0.137
2025-07-31,0.142
2025-08-31,0.133
2025-09-30,0.141
2025-10-31,0.143
2025-11-30,0.141
2025-12-31,0.154
2026-01-31,0.154
2026-02-28,0.152
2026-03-31,0.15
2026-04-30,0.17
2026-05-31,0.14
