year,month,VIX_avg
1999,12,24.639999389648438
2000,1,23.201999855041503
2000,2,23.595500183105468
2000,3,22.718260806539785
2000,4,27.16421077125951
2000,5,26.373181863264605
2000,6,21.539999961853027
2000,7,19.89300012588501
2000,8,18.08869569197945
2000,9,19.6875
2000,10,25.200000069358133
2000,11,26.382857095627557
2000,12,26.530499839782713
2001,1,24.91857147216797
2001,2,23.411579132080078
2001,3,28.496818369085137
2001,4,28.13399991989136
2001,5,22.944090929898348
2001,6,20.94047619047619
2001,7,22.31619053795224
2001,8,21.86173903423807
2001,9,35.065333429972334
2001,10,32.721304603244945
2001,11,26.63095238095238
2001,12,23.720000076293946
2002,1,22.252857208251953
2002,2,22.875789843107526
2002,3,18.98499994277954
2002,4,19.900454607876863
2002,5,20.08772711320357
2002,6,25.270999908447266
2002,7,34.049544941295274
2002,8,33.742727366360754
2002,9,37.6475004196167
2002,10,35.243043484895125
2002,11,28.174999713897705
2002,12,28.21047628493536
2003,1,27.424285707019624
2003,2,32.218421032554225
2003,3,30.634285699753534
2003,4,23.991904758271716
2003,5,20.23952375139509
2003,6,20.362380799793062
2003,7,19.16136360168457
2003,8,19.27428572518485
2003,9,19.53238096691313
2003,10,18.0234783006751
2003,11,17.401052575362357
2003,12,16.826363650235262
2004,1,16.100999975204466
2004,2,15.998421167072497
2004,3,17.687391198199727
2004,4,15.6985715230306
2004,5,17.704999876022338
2004,6,15.35714290255592
2004,7,15.502380916050502
2004,8,16.684090744365346
2004,9,14.08095241728283
2004,10,14.973809560139975
2004,11,13.577142897106352
2004,12,12.459545438939875
2005,1,13.43799991607666
2005,2,11.708947482861971
2005,3,13.126363667574795
2005,4,14.459047589983259
2005,5,13.967618987673806
2005,6,11.868636348030783
2005,7,11.049000024795532
2005,8,12.951304394265879
2005,9,12.628095263526554
2005,10,14.937618982224237
2005,11,12.147619111197335
2005,12,11.260000001816522
2006,1,12.03600001335144
2006,2,12.47105262154027
2006,3,11.693913003672725
2006,4,11.847368441129985
2006,5,14.454545411196621
2006,6,16.91863627867265
2006,7,15.325999879837036
2006,8,13.351739137069039
2006,9,12.184499979019165
2006,10,11.306363625959916
2006,11,10.817619051252093
2006,12,10.964500045776367
2007,1,11.042500066757203
2007,2,11.155263097662674
2007,3,15.162727269259365
2007,4,12.93299994468689
2007,5,13.297727324745871
2007,6,14.947618938627697
2007,7,17.273333277021134
2007,8,25.026086724322774
2007,9,22.19894740456029
2007,10,19.115652084350586
2007,11,25.582380930582683
2007,12,21.651000022888184
2008,1,25.816190719604492
2008,2,25.456000137329102
2008,3,27.103500080108642
2008,4,21.562727321277965
2008,5,18.303333009992325
2008,6,22.11047617594401
2008,7,24.32136362249201
2008,8,20.695714133126394
2008,9,30.238571348644438
2008,10,61.1773912181025
2008,11,62.639473362972865
2008,12,52.405000166459516
2009,1,44.68300018310547
2009,2,45.57052592227333
2009,3,44.7954548922452
2009,4,38.063809349423366
2009,5,31.97799997329712
2009,6,29.140454725785688
2009,7,26.16272735595703
2009,8,25.33714285350981
2009,9,24.926666713896253
2009,10,24.252272865988992
2009,11,23.783499908447265
2009,12,21.239545475352894
2010,1,20.643157758210833
2010,2,22.540000012046413
2010,3,17.767391287762187
2010,4,17.42428566160656
2010,5,31.929500007629393
2010,6,29.91636371612549
2010,7,25.565237862723215
2010,8,24.745908997275613
2010,9,22.51761899675642
2010,10,20.3733332497733
2010,11,20.095714387439546
2010,12,17.569545529105447
2011,1,17.31549987792969
2011,2,17.4299999036287
2011,3,20.72347815140434
2011,4,16.244000005722047
2011,5,16.911428587777273
2011,6,19.15318202972412
2011,7,19.22749991416931
2011,8,35.02913035517154
2011,9,36.52999977838425
2011,10,32.82904770260765
2011,11,31.941904703776043
2011,12,25.047619047619047
2012,1,20.227999877929687
2012,2,18.420499992370605
2012,3,16.16727287119085
2012,4,17.822999906539916
2012,5,21.001818136735395
2012,6,21.130952290126256
2012,7,17.565238180614653
2012,8,15.689565119536027
2012,9,15.284736834074321
2012,10,16.276190576099214
2012,11,16.70190484183175
