year,trading_days,up_days,down_days,flat_days,up_pct,down_pct,up_down_ratio,deviation_from_1to1_pct,annual_return_pct,start_date,end_date
1971,228,134,93,1,58.77,40.79,1.4409,17.98,13.17,1971-02-08,1971-12-31
1972,251,146,104,1,58.17,41.43,1.4038,16.73,17.67,1972-01-03,1972-12-29
1973,252,119,133,0,47.22,52.78,0.8947,5.56,-31.52,1973-01-02,1973-12-31
1974,253,113,140,0,44.66,55.34,0.8071,10.67,-35.35,1974-01-02,1974-12-31
1975,253,141,112,0,55.73,44.27,1.2589,11.46,27.87,1975-01-02,1975-12-31
1976,253,151,100,2,59.68,39.53,1.51,20.16,25.39,1976-01-02,1976-12-31
1977,252,143,108,1,56.75,42.86,1.3241,13.89,7.53,1977-01-03,1977-12-30
1978,252,165,86,1,65.48,34.13,1.9186,31.35,13.44,1978-01-03,1978-12-29
1979,253,167,85,1,66.01,33.6,1.9647,32.41,28.26,1979-01-02,1979-12-31
1980,253,162,90,1,64.03,35.57,1.8,28.46,36.56,1980-01-02,1980-12-31
1981,253,146,107,0,57.71,42.29,1.3645,15.42,-3.79,1981-01-02,1981-12-31
1982,253,130,123,0,51.38,48.62,1.0569,2.77,18.86,1982-01-04,1982-12-31
1983,253,151,102,0,59.68,40.32,1.4804,19.37,20.82,1983-01-03,1983-12-30
1984,253,107,143,3,42.29,56.52,0.7483,14.23,-11.0,1984-01-03,1984-12-31
1985,252,149,101,2,59.13,40.08,1.4752,19.05,32.13,1985-01-02,1985-12-31
1986,253,154,98,1,60.87,38.74,1.5714,22.13,7.32,1986-01-02,1986-12-31
1987,253,145,103,5,57.31,40.71,1.4078,16.6,-6.43,1987-01-02,1987-12-31
1988,253,147,97,9,58.1,38.34,1.5155,19.76,12.67,1988-01-04,1988-12-30
1989,252,154,94,4,61.11,37.3,1.6383,23.81,20.13,1989-01-03,1989-12-29
1990,253,131,118,4,51.78,46.64,1.1102,5.14,-18.62,1990-01-02,1990-12-31
1991,253,149,104,0,58.89,41.11,1.4327,17.79,57.53,1991-01-02,1991-12-31
1992,254,133,121,0,52.36,47.64,1.0992,4.72,15.43,1992-01-02,1992-12-31
1993,253,155,98,0,61.26,38.74,1.5816,22.53,15.63,1993-01-04,1993-12-31
1994,252,132,119,1,52.38,47.22,1.1092,5.16,-2.44,1994-01-03,1994-12-30
1995,252,148,104,0,58.73,41.27,1.4231,17.46,41.5,1995-01-03,1995-12-29
1996,254,151,103,0,59.45,40.55,1.466,18.9,21.95,1996-01-02,1996-12-31
1997,253,145,108,0,57.31,42.69,1.3426,14.62,22.62,1997-01-02,1997-12-31
1998,252,145,107,0,57.54,42.46,1.3551,15.08,38.64,1998-01-02,1998-12-31
1999,252,146,106,0,57.94,42.06,1.3774,15.87,84.29,1999-01-04,1999-12-31
2000,252,122,130,0,48.41,51.59,0.9385,3.17,-40.2,2000-01-03,2000-12-29
2001,248,125,123,0,50.4,49.6,1.0163,0.81,-14.9,2001-01-02,2001-12-31
2002,252,117,135,0,46.43,53.57,0.8667,7.14,-32.52,2002-01-02,2002-12-31
2003,252,133,119,0,52.78,47.22,1.1176,5.56,44.66,2003-01-02,2003-12-31
2004,252,137,115,0,54.37,45.63,1.1913,8.73,8.41,2004-01-02,2004-12-31
2005,252,136,116,0,53.97,46.03,1.1724,7.94,2.47,2005-01-03,2005-12-30
2006,251,134,117,0,53.39,46.61,1.1453,6.77,7.65,2006-01-03,2006-12-29
2007,251,145,106,0,57.77,42.23,1.3679,15.54,9.46,2007-01-03,2007-12-31
2008,253,117,136,0,46.25,53.75,0.8603,7.51,-39.57,2008-01-02,2008-12-31
2009,252,143,109,0,56.75,43.25,1.3119,13.49,39.02,2009-01-02,2009-12-31
2010,252,148,104,0,58.73,41.27,1.4231,17.46,14.92,2010-01-04,2010-12-31
2011,252,138,114,0,54.76,45.24,1.2105,9.52,-3.21,2011-01-03,2011-12-30
2012,250,129,121,0,51.6,48.4,1.0661,3.2,14.0,2012-01-03,2012-12-31
2013,252,150,102,0,59.52,40.48,1.4706,19.05,34.2,2013-01-02,2013-12-31
2014,252,144,108,0,57.14,42.86,1.3333,14.29,14.31,2014-01-02,2014-12-31
2015,252,130,122,0,51.59,48.41,1.0656,3.17,5.94,2015-01-02,2015-12-31
2016,252,135,117,0,53.57,46.43,1.1538,7.14,9.79,2016-01-04,2016-12-30
2017,251,154,97,0,61.35,38.65,1.5876,22.71,27.16,2017-01-03,2017-12-29
2018,251,134,116,1,53.39,46.22,1.1552,7.17,-5.3,2018-01-02,2018-12-31
2019,252,146,106,0,57.94,42.06,1.3774,15.87,34.6,2019-01-02,2019-12-31
2020,253,157,96,0,62.06,37.94,1.6354,24.11,41.75,2020-01-02,2020-12-31
2021,252,141,111,0,55.95,44.05,1.2703,11.9,23.2,2021-01-04,2021-12-31
2022,251,111,140,0,44.22,55.78,0.7929,11.55,-33.89,2022-01-03,2022-12-30
2023,250,141,109,0,56.4,43.6,1.2936,12.8,44.52,2023-01-03,2023-12-29
2024,252,147,105,0,58.33,41.67,1.4,16.67,30.78,2024-01-02,2024-12-31
2025,250,145,105,0,58.0,42.0,1.381,16.0,20.54,2025-01-02,2025-12-31
2026,122,69,53,0,56.56,43.44,1.3019,13.11,11.12,2026-01-02,2026-06-29
